id,vid_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action
12,zPwDAZYkPds,112.315,finely,grind,53204,finely,grind
36,2c_w47Tv2-U,181.965,coarsely,spread,53204,coarsely,apply
57,GaSC0SbsCmE,36.705,finely,cut,20880,finely,chop
60,vG_M2QIAsX4,209.825,finely,cut,20880,thinly,chop
66,DDNCgdap0gU,171.25,finely,cut,20880,finely,slice
68,XqETe_ltl7Q,7.93,finely,cut,20880,thinly,slice
69,XqETe_ltl7Q,14.93,finely,cut,20880,thinly,slice
71,Ybskp5DZkS4,89.89500000000002,finely,cut,20880,thinly,slice
75,gleXuoTsZak,214.525,finely,cut,20880,thinly,slice
86,IavtGfKsVVc,128.04500000000002,finely,cut,20880,fine,mince
87,4ZeKDE2WOlw,72.89,finely,cut,20880,finely,chop
88,JCDpHgYwawM,34.9,finely,cut,20880,finely,chop
89,JCDpHgYwawM,38.095,finely,cut,20880,finely,chop
98,G3bslRSA9wA,54.69,finely,cut,20880,fine,chop
103,AC6BcENcu_0,111.255,finely,cut,20880,fine,chop
104,AC6BcENcu_0,187.345,finely,cut,20880,finely,chop
106,v48sCZU3PXw,43.865,finely,cut,20880,finely,chop
107,hhkTHfsl_iM,52.175,finely,cut,20880,finely,slice
111,a9SatMhRQQ8,66.125,finely,cut,20880,finely,chop
118,KgHN7mG-Y2I,125.075,finely,cut,20880,finely,chop
120,rOA-ykXJldk,71.18,finely,cut,20880,finely,chop
124,o8T5DhybZb4,54.13,finely,cut,20880,finely,chop
125,o8T5DhybZb4,64.435,finely,cut,20880,finely,chop
126,ZKn5uIlYfF0,41.005,finely,cut,20880,finely,slice
129,34k9Ncr0MCk,7.0150000000000015,finely,cut,20880,finely,chop
136,4OQakPZbvio,15.725,finely,cut,20880,finely,chop
139,4OQakPZbvio,122.79,finely,cut,20880,finely,chop
140,vj_DykfQgXQ,243.785,finely,cut,20880,thinly,slice
144,JpCnz41AUt8,388.455,finely,cut,20880,fine,chop
155,n4YLoYcl5iw,33.14,finely,cut,20880,finely,chop
164,gY9VoMq1jPA,185.3,finely,cut,20880,finely,chop
173,90-QSn3r3Bo,62.285,finely,cook,20880,thinly,boil
176,-atjWYVBXEI,42.665,finely,cut,20880,thinly,slice
178,yQibSbSloXI,56.75,finely,cut,20880,finely,chop
179,yQibSbSloXI,87.725,finely,cut,20880,finely,chop
180,yQibSbSloXI,91.045,finely,cut,20880,finely,chop
182,9EgtRe5wi00,51.355,finely,cut,20880,finely,dice
187,2s8tUy77lCk,62.74500000000001,finely,cut,20880,finely,chop
188,Q0CyUxSgOlU,81.785,finely,cut,20880,finely,chop
189,Q0CyUxSgOlU,171.055,finely,cut,20880,finely,chop
193,5ZuMajE1UrQ,51.38,finely,peel,20880,finely,peel
196,MWuZ9r1P1gk,238.73,coarsely,grind,20880,coarsely,ground
199,4yH4HGIJEMo,89.07499999999996,finely,add,20880,finely,add
201,_RIVktFYymU,28.03,finely,cut,20880,finely,chop
202,_RIVktFYymU,183.855,finely,cut,20880,thinly,slice
212,scBQgciOfD0,36.86,finely,cut,20880,finely,slice
215,Ad4kA8e51g4,511.44000000000005,finely,cut,20880,fine,chop
222,Ni6s8J9f9FY,237.065,finely,cut,20880,fine,chop
245,PgLLBDtG2bM,183.715,finely,cut,20880,thinly,slice
246,hr7w_ZpapNI,150.98000000000005,finely,cut,20880,finely,chop
247,hr7w_ZpapNI,159.825,finely,cut,20880,finely,chop
248,hr7w_ZpapNI,212.955,finely,cut,20880,finely,chop
249,lEsuSLgc9Ms,142.505,finely,cut,20880,finely,chop
252,6YIxHi3gajI,167.185,finely,cut,20880,thinly,slice
257,5gPEcZzDF8I,557.98,finely,cut,20880,thinly,slice
268,N2BLeUGEHSA,39.4,finely,cut,20880,finely,chop
273,n_Iv6mbm-nY,100.98,finely,cut,20880,thinly,slice
304,mQ75-ALLb9c,30.505,finely,cut,50348,finely,chop
305,mQ75-ALLb9c,35.765,finely,cut,50348,finely,chop
308,ZTcfheqKxNs,72.10499999999998,finely,cut,50348,thinly,slice
336,0d5qqkTTsuM,22.46,finely,cut,50348,finely,chop
337,0d5qqkTTsuM,25.0,finely,cut,50348,finely,chop
352,l3E9Pca-2oE,26.025,coarsely,cut,50348,thickly,slice
363,f18XhqVTYHo,36.53,finely,cut,50348,thinly,slice
383,sP7pjDnnJfk,41.845,finely,cut,50348,finely,slice
403,ihT1H3gHcWA,42.815,finely,cut,50348,thinly,slice
404,ihT1H3gHcWA,45.505,finely,cut,50348,thinly,slice
409,basFyoMSjds,255.49,finely,cut,50348,finely,mince
411,basFyoMSjds,282.865,finely,cut,50348,finely,mince
433,hXYoduN0kWs,43.17,finely,cut,50348,finely,mince
435,hXYoduN0kWs,191.985,finely,cut,50348,thinly,slice
469,eHTlh_B1Vlo,50.715,finely,cut,97633,thinly,slice
476,RFXG_5vQwQQ,144.595,finely,cut,97633,finely,chop
477,RFXG_5vQwQQ,160.655,finely,cut,97633,finely,chop
482,DSnu670BeUY,88.265,finely,cut,97633,finely,chop
483,j878b3cSqEw,80.58500000000002,finely,cut,97633,finely,cut
492,QPCwH8uJawA,323.4,finely,cut,97633,fine,chop
498,w00dVo755xs,140.305,finely,cut,97633,finely,chop
500,dPtUSxM8CqM,49.085,finely,cut,97633,thinly,slice
502,-I3dS8MuIPg,89.685,finely,cut,97633,finely,chop
506,-I3dS8MuIPg,260.49,finely,cut,97633,finely,chop
507,Auls99IZdiQ,40.545,finely,cut,97633,finely,chop
510,9UFxEazSjrw,50.355,finely,cut,97633,finely,chop
544,3gmsGwBlqE4,164.38,finely,cut,97633,finely,chop
545,3gmsGwBlqE4,357.45000000000016,finely,cut,97633,finely,chop
569,UivbSRP80AU,124.81,finely,cut,97633,finely,chop
586,iCVbs5TkkDU,425.365,finely,cut,97633,finely,chop
599,LybGj6hRT-8,45.59,finely,cut,97633,finely,slice
616,y05q2kYkBDA,60.37,finely,cut,97633,finely,chop
622,e-rc-8TNri4,36.665,finely,cut,97633,finely,chop
623,e-rc-8TNri4,52.3,finely,cut,97633,finely,chop
631,rGLlBcomX5c,145.415,coarsely,grind,97633,coarsely,grind
636,frgdffSHJEM,228.245,finely,cut,97633,thinly,slice
638,C7dFBQt4xIk,24.895,finely,cut,97633,finely,chop
661,YyxPrq7KdqM,78.185,coarsely,grind,97633,coarsely,grind
667,EFo4yPWRGFM,475.4,finely,grind,97633,fine,grind
671,c62iLi7rJQU,623.2049999999998,finely,cut,97633,finely,chop
678,YSsfRfR_wBE,103.425,finely,cut,97633,finely,chop
681,LAGdYErTpiE,81.235,finely,cut,97633,finely,chop
690,Whzv7tLfNZs,26.665,finely,cut,97633,finely,chop
691,Whzv7tLfNZs,180.08999999999997,finely,cut,97633,finely,chop
695,bT4DHv76CN4,44.535,finely,mix,97633,finely,blend
697,bT4DHv76CN4,145.89,finely,cut,97633,finely,chop
713,CeC2Ra6gcRU,23.46,finely,cut,97633,finely,chop
714,CeC2Ra6gcRU,35.655,finely,cut,97633,finely,chop
716,lv5q4dRft2Y,47.64,finely,cut,97633,finely,chop
727,Lsk6nWGhtfI,173.355,finely,cut,97633,finely,slice
728,Lsk6nWGhtfI,197.965,finely,cut,97633,finely,chop
735,AUJA7F6rETI,49.205,coarsely,grind,97633,coarsely,grind
740,o04dZqGttCE,32.195,finely,cut,97633,thinly,slice
742,o04dZqGttCE,123.975,finely,cut,97633,finely,chop
743,DDwd9NJTatQ,62.42,finely,cut,97633,finely,chop
744,93aW9R2nJos,56.02,finely,cut,97633,finely,chop
745,93aW9R2nJos,79.625,finely,cut,97633,finely,chop
749,93aW9R2nJos,254.895,finely,cut,97633,finely,chop
752,noJAKPLQQsU,38.265,finely,cut,97633,finely,chop
753,noJAKPLQQsU,61.245,finely,cut,97633,finely,chop
765,z6rMHi55m2E,238.41,finely,grind,97633,finely,grind
769,z6rMHi55m2E,905.48,finely,cut,97633,finely,chop
775,i0XTiaRBeR8,31.125,coarsely,cut,97633,thickly,slice
789,7vS8fkXWeeg,168.22,finely,cut,97633,thinly,slice
790,7vS8fkXWeeg,183.68,finely,cut,97633,thinly,slice
794,PTK6Yr-St8s,213.39,finely,grate,97633,finely,grate
807,cKQ5yMXfN_A,71.295,finely,cut,97633,finely,chop
830,avrwgA0lfcA,144.065,coarsely,grind,118780,coarsely,grind
831,avrwgA0lfcA,148.745,finely,grind,118780,finely,grind
876,Go-ARIKURs0,199.68,finely,cut,105259,finely,chop
877,KFfRuKzm0vA,52.895,coarsely,cut,105259,coarsely,chop
916,n_eQ6s62nko,479.035,coarsely,separate,105259,coarsely,crack
923,E-XIli3c25Q,220.02,finely,cut,105259,thinly,slice
925,QH7ViMjF5UI,133.06,finely,mix,105259,fine,mix
980,xDy6N0ZIiJw,72.155,finely,grind,105259,finely,grind
995,NX0XYT4q_2Q,633.3499999999998,finely,cut,105259,thinly,slice
996,NX0XYT4q_2Q,639.105,finely,cut,105259,thinly,slice
1039,djQrOSTWSpg,131.215,coarsely,mix,105259,coarsely,blend
